number,title,classification,timestamp,latitude,longitude,state
27067,Report 27067: Motorists pulled over on a rural highway at night describe standoff in headlights east of Clayton,Class A,1980-01-12T12:00:00Z,31.86801,-85.35995,Alabama
27459,Report 27459: Motorist sights dirty-white upright creature near the town of Kansas,Class A,2010-03-12T12:00:00Z,33.8957,-87.53395,Alabama
27480,Report 27480: Woman recounts childhood sighting of a white creature near the town of Kansas,Class A,1990-05-15T12:00:00Z,33.8957,-87.53395,Alabama
27568,Report 27568: Daylight sighting of a Bigfoot outside Muscle Shoals,Class A,2005-01-12T12:00:00Z,34.70112,-87.77686,Alabama
33307,Report 33307: Memory told of a close encounter while riding a bike as a teen in Brewton,Class A,1983-10-14T12:00:00Z,31.13586,-87.06486,Alabama
35293,Report 35293: Daylight observation remembered of a Bigfoot holding a baby pig near Andalusia,Class A,1978-10-10T12:00:00Z,31.34781,-86.54527,Alabama
35475,Report 35475: Daylight road crossing near Vernon,Class A,2012-05-21T12:00:00Z,33.41574,-88.12475,Alabama
37038,Report 37038: Nighttime sighting of a tall blonde biped crossing Hwy. 45 north of Fruitdale,Class A,2008-02-15T12:00:00Z,31.25385,-88.26291,Alabama
37094,Report 37094: Multiple sightings close to Lookout Mountain near Gadsden,Class A,2012-11-01T12:00:00Z,33.82162,-85.48985,Alabama
39383,Report 39383: Kayaker has rocks thrown and observes the culprit near Union Grove,Class A,2012-08-15T12:00:00Z,34.32279,-86.5045,Alabama
40417,Report 40417: Nighttime encounters close to home near Morgan,Class A,2013-03-16T12:00:00Z,34.47091,-86.56954,Alabama
40912,Report 40912: Deer hunter hears then sees large hair-covered biped near the Morgan County line,Class A,2013-01-23T12:00:00Z,34.29511,-86.88621,Alabama
42939,Report 42939: Late afternoon sighting by a bow hunter in his tree stand south of Clanton,Class A,2013-10-15T12:00:00Z,32.48322,-86.37698,Alabama
43689,Report 43689: Night fisherman first hears and then observes two Bigfoots in his spotlight near Birmingham,Class A,2013-10-02T12:00:00Z,33.55153,-86.98473,Alabama
44487,Report 44487: Memory told of a close dalylight observation outside Alexander City,Class A,2014-03-30T12:00:00Z,32.91874,-85.9793,Alabama
44849,Report 44849: Sightings at night in the same area off Bone Camp Road near Northport,Class A,2014-12-27T12:00:00Z,33.37095,-87.6942,Alabama
44986,"Report 44986: Memory told of a close up daylight encounter with two, possibly young, Bigfoots near Abbeville",Class A,2014-12-31T12:00:00Z,31.651,-85.19265,Alabama
45296,Report 45296: Motorist observes a Bigfoot chasing a deer at night near Bremen,Class A,2014-06-09T12:00:00Z,34.00806,-86.96416,Alabama
45464,Report 45464: Motorist has a daylight sighting on Hwy. 9 east of Cedar Bluff,Class A,2014-06-17T12:00:00Z,34.14117,-85.22781,Georgia
46746,Report 46746: Nighttime sighting by a motorist west of Newville,Class A,2014-09-17T12:00:00Z,31.23374,-85.21574,Alabama
47975,Report 47975: Motorist observes a tall biped with an ape-like face while driving at dusk near Ariton,Class A,2013-01-28T12:00:00Z,31.53475,-85.7944,Alabama
50178,Report 50178: Recollection of a roadside sighting of a white Bigfoot near Blount Springs,Class A,2014-01-14T12:00:00Z,33.89833,-86.84557,Alabama
186,Report 186: Two boys are chased by sasquatch,Class A,2001-08-11T12:00:00Z,34.55056,-92.34083,Arkansas
1636,Report 1636: Teenager has sighting near Ozark National Forest,Class A,1972-11-05T12:00:00Z,36.19444,-92.38222,Arkansas
1637,Report 1637: Backyard sighting near Mountain Home.,Class A,1995-05-15T12:00:00Z,36.33528,-92.385,Arkansas
1640,Report 1640: Nightime sighting by motorists on Hwy 7 North,Class A,1996-10-15T12:00:00Z,34.08,-93,Arkansas
1641,"Report 1641: From top of hill, hunter observes bipedal creature following a fence row",Class A,1998-10-29T12:00:00Z,34.25,-93.1,Arkansas
1944,Report 1944: Family has multiple encounters with white bigfoot creature,Class A,1969-08-16T12:00:00Z,33.76986,-94.3643,Arkansas
2494,Report 2494: Bus driver encounters ape like creature during an unscheduled stop,Class A,2001-08-11T12:00:00Z,34.787,-91.735,Arkansas
2774,Report 2774: Large bipedal animal observes couple parking behind school gymnasium,Class A,1988-01-10T12:00:00Z,36.12083,-90.51056,Arkansas
2931,"Report 2931: Daylight sighting outside rural home in small community of Herbine, south of Rison",Class A,2001-07-29T12:00:00Z,33.82111,-92.03389,Arkansas
2957,Report 2957: Youths riding in back of pick-up have close observation of large biped crossing road,Class A,1970-06-15T12:00:00Z,35.9975,-93.83426,Arkansas
3226,Report 3226: Man finds 3-toed prints & wife has sighting,Class A,1998-11-15T12:00:00Z,35.42097,-93.15208,Arkansas
3519,Report 3519: Man working in wooded area sees bipedal animal standing on railroad tracks,Class A,1984-04-17T12:00:00Z,33.88861,-93.20389,Arkansas
4090,Report 4090: Sighting in wheat field near Fouke,Class A,2000-01-15T12:00:00Z,33.26666,-93.886,Arkansas
4093,Report 4093: Daytime sighting between Pocahontas and Imboden,Class A,1977-09-25T12:00:00Z,36.19791,-91.1125,Arkansas
4094,Report 4094: Late night encounter near Benton,Class A,1994-10-15T12:00:00Z,34.56444,-92.58667,California
5228,Report 5228: Motorist has nighttime sighting of bipedal animal at roadside,Class A,1997-03-14T12:00:00Z,36.37111,-91.87,Arkansas
5316,Report 5316: Daytime sighting by hiker near Spring Creek.,Class A,2002-10-10T12:00:00Z,36.20611,-94.23417,Arkansas
5607,Report 5607: Driver narrowly misses creature darting across mountainous stretch of highway,Class A,1998-07-07T12:00:00Z,34.70694,-94.45417,Arkansas
6178,Report 6178: Motorist crossing a bridge sees sasquatch digging in the dirt below,Class A,2004-04-04T12:00:00Z,36.18333,-94.44694,Arkansas
6932,Report 6932: Duck hunter observes apelike creature across White River,Class A,1999-11-15T12:00:00Z,35.64861,-91.45889,Arkansas
7045,Report 7045: Man riding 4-wheeler observes a bigfoot reaching into a tree,Class A,2003-10-31T12:00:00Z,36.34167,-93.94583,Arkansas
7234,Report 7234: Daylight sighting by two sisters near their farm in the early 1960s,Class A,1961-10-15T12:00:00Z,34.88111,-91.08056,Arkansas
7815,Report 7815: Man while checking spooked cattle with his grandfather observes 8'-9' bipedal animal leaning against tree,Class A,2003-08-12T12:00:00Z,35.27833,-93.13361,Arkansas
7971,Report 7971: Coon hunter and dogs experience close encounter in Sulphur River bottoms between Doddridge and Fouke.,Class A,2004-02-19T12:00:00Z,33.18639,-93.9475,Arkansas
8420,Report 8420: Early morning motorist driving to work sees bipedal animal running through field,Class A,2004-04-03T12:00:00Z,34.53167,-92.40778,California
8527,"Report 8527: Man has extraordinary, close encounter while fishing near Huntington",Class A,2004-04-23T12:00:00Z,35.09306,-94.356,Arkansas
8913,Report 8913: Late night sighting by motorist,Class A,2001-05-15T12:00:00Z,33.7985,-91.27056,Arkansas
9507,Report 9507: Roadside sighting near Eureka Springs,Class A,1994-07-16T12:00:00Z,36.41,-93.74,Arkansas
9753,Report 9753: Animal peers into youngster's bedroom window,Class A,1986-07-15T12:00:00Z,35.44944,-91.51306,California
10913,Report 10913: Squirrel Hunter has encounter south of El Dorado,Class A,2002-11-05T12:00:00Z,33.14663,-92.61493,Arkansas
10919,Report 10919: Youth has sighting from his backyard on Air Force Base,Class A,1975-09-15T12:00:00Z,34.87,-92.12,Arkansas
11430,Report 11430: Two young men have a sighting while spelunking near Huntsville.,Class A,1981-07-15T12:00:00Z,36.31519,-93.75723,Arkansas
11632,Report 11632: 4' - 5.5' upright animal seen crossing dead-end road.,Class A,2005-05-07T12:00:00Z,33.26462,-92.64066,Arkansas
13211,Report 13211: Early morning sighting by resident along Highway 7 near Bismarck.,Class A,2005-12-04T12:00:00Z,34.285,-93.162,Arkansas
13718,Report 13718: Man tells of two-legged animal crossing road in front of his car east of Paris,Class A,1986-06-01T12:00:00Z,35.34572,-93.75313,California
13983,Report 13983: Possible sighting by fisherman at Blue Lake.,Class A,1980-06-15T12:00:00Z,35.0194,-90.32,Arkansas
16696,Report 16696: Dusk sighting and vocalizations around property near Cove,Class A,2004-10-15T12:00:00Z,34.369,-94.3745,Arkansas
24254,Report 24254: Woman remembers she and a male friend watching an upright creature walking on the edge of moonlit Lake Hamilton,Class A,1992-06-14T12:00:00Z,34.44652,-93.07654,Arkansas
26100,Report 26100: Truck driver sees a tall red eyed creature south of Fouke near the Sulphur River,Class A,1996-11-15T12:00:00Z,33.14759,-93.89135,Arkansas
27482,Report 27482: Man recalls incident while camping as a teenager near Cedarville,Class A,2010-03-23T12:00:00Z,35.36335,-94.229,Arkansas
27948,Report 27948: Motorist has nighttime sighting on a mountain road north of Flippin,Class A,2004-01-14T12:00:00Z,36.29871,-92.63179,Arkansas
29417,Report 29417: Deer hunter has a late afternoon sighting through his rifle scope in the Winona Wildlife Management Area,Class A,2010-11-18T12:00:00Z,34.73147,-92.75093,Arkansas
36178,Report 36178: Motorist has nighttime sighting near Lake Village,Class A,2012-07-29T12:00:00Z,33.26855,-91.22115,Arkansas
36498,Report 36498: Pre-dawn sighting on a rural road near Fouke,Class A,2012-09-13T12:00:00Z,33.33171,-93.98622,Arkansas
38015,Report 38015: Motorist observes three bigfoots crossing before him at night east of Harrison,Class A,2012-12-04T12:00:00Z,36.14065,-92.52505,Arkansas
40020,Report 40020: Man has a close daytime encounter with a probable Bigfoot family outside Hardy,Class A,2008-01-15T12:00:00Z,36.33205,-91.52025,Arkansas
40101,Report 40101: Motorist views large bipedal animal squatting at night beside I-40 near Marche.,Class A,2012-12-07T12:00:00Z,34.86535,-92.3575,Arkansas
41827,Report 41827: Motorist has close encounter on Mallard Point Road near Lake Norfork,Class A,2009-02-15T12:00:00Z,36.38605,-92.30614,Arkansas
46380,"Report 46380: Mother & daughter have unusual, close-up encounter on the road at night near Newark",Class A,2011-11-24T12:00:00Z,35.703,-91.46231,Arkansas
50541,Report 50541: Motorist has a close sighting at dusk on AR-258 outside Bald Knob,Class A,2015-12-28T12:00:00Z,35.34737,-91.60007,Arkansas
55376,Report 55376: Two fishermen have close-up sighting while driving home at night from Norfork Lake,Class A,2003-12-15T12:00:00Z,36.37399,-92.27071,Arkansas
55410,"Report 55410: Deer hunter encounters several Bigfoots, possibly a family unit, near Searcy",Class A,2015-11-26T12:00:00Z,35.255,-91.50301,Arkansas
56108,Report 56108: Sighting at dusk by a Retired Police Officer with Anthropology Degree,Class A,2016-12-02T12:00:00Z,34.4125,-94.1125,Arkansas
56735,Report 56735: Motorist has daytime sighting while driving past Joseph T. Robinson military base,Class A,2017-02-10T12:00:00Z,34.85324,-92.25454,Arkansas
57471,Report 57471: Memory told of a close daylight encounter with a white Bigfoot while riding a motorcycle inside Camp Joseph T. Robinson,Class A,1976-09-15T12:00:00Z,34.92336,-92.30519,Arkansas
440,Report 440: A daylight sighting report by an ex soldier,Class A,2000-10-10T12:00:00Z,31.99003,-110.1835,Arkansas
3482,"Report 3482: Nighttime sighting by motorists on Hwy 87 in Jacks Canyon, 30 miles south of Winslow",Class A,2000-12-24T12:00:00Z,34.90831,-110.8403,Arkansas
6552,Report 6552: Bigfoot crosses road in front of vehicle traveling on Navajo Route 7 near Canyon De Chelley National Monument,Class A,2001-06-17T12:00:00Z,36.09081,-109.4276,Arkansas
7495,"Report 7495: Night time road crossing near Strawberry, Arizona",Class A,1983-12-30T12:00:00Z,34.4,-111.5,Arizona
7566,Report 7566: Bow hunter has daylight sighting near Alpine.,Class A,1993-09-04T12:00:00Z,33.6247,-109.3191,Arizona
8685,Report 8685: Morning sighting in the Lukachukai Mountains of northeast Arizona,Class A,1981-11-07T12:00:00Z,36.54165,-109.29,Arizona
11514,Report 11514: Evening sighting by motorists north of Flagstaff.,Class A,1990-07-01T12:00:00Z,35.656,-111.938,Arizona
16580,Report 16580: Afternoon road-crossing sighting by motorist on RT 61 near Concho,Class A,2006-10-26T12:00:00Z,34.325,-109.64,Arizona
17448,Report 17448: A close range road crossing on a foggy morning near Safford,Class A,2007-01-22T12:00:00Z,32.815,-109.675,Arizona
17804,Report 17804: Late afternoon road crossing sighting by motorist west of Springerville.,Class A,2007-02-01T12:00:00Z,34.6,-109.44,Arizona
18723,"Report 18723: Late night multi-witness, road-crossing sighting near Bartlett Lake.",Class A,1995-07-15T12:00:00Z,33.85,-111.69,Arizona
19339,Report 19339: Late afternoon road crossing near Cibecue (Fort Apache Reservation),Class A,2006-10-15T12:00:00Z,33.99989,-110.4298,Arizona
23136,Report 23136: Early morning roadside sighting of tall gray creature near Buckeye,Class A,2008-07-29T12:00:00Z,33.3785,-112.6432,Arizona
23358,Report 23358: Late night road side sighting near Tonto Creek,Class A,2006-11-17T12:00:00Z,34.28939,-111.1367,Arizona
24405,Report 24405: Man tells of his scary encounter while traveling Route 66 in a snow storm,Class A,1973-12-20T12:00:00Z,35.241,-111.8634,Arizona
27495,Report 27495: Afternoon sighting by a commuter south of Show Low,Class A,2010-03-24T12:00:00Z,34.1,-110.165,Arizona
28946,Report 28946: Army Vet recalls daylight sighting near Prescott,Class A,1981-08-15T12:00:00Z,34.55154,-112.5421,Arizona
29358,Report 29358: Brief daylight sighting within the city limits of Show Low,Class A,2011-05-31T12:00:00Z,34,-110,Arizona
42364,Report 42364: Memory told of a daylight sighting and parallel chase in the Gila River bottoms while riding horseback,Class A,1992-08-15T12:00:00Z,32.95,-112.73,Arizona
47536,Report 47536: Evening sighting from a fishing boat on Fools Hollow Lake near Show Low.,Class A,2014-04-22T12:00:00Z,34.285,-110.11,Arizona
83,Report 83: Early dawn sighting by hunters near Bass Lake,Class A,1988-10-01T12:00:00Z,37.35944,-119.6436,Arizona
147,Report 147: Sound reports from resident in South Lake Tahoe,Class A,2000-06-15T12:00:00Z,38.93333,-119.9833,Arizona
353,Report 353: Night sighting by two motorists near Lake Tahoe,Class A,2000-09-23T12:00:00Z,38.9575,-120.0914,Arizona
528,Report 528: Three children have daytime sighting near Eureka,Class A,1957-06-01T12:00:00Z,40.80222,-124.1625,California
615,"Report 615: Sighting by woman in Eagle Meadow, above Strawberry",Class A,1997-11-15T12:00:00Z,38.28085,-119.836,California
849,Report 849: Girl has daytime sighting near Payne's Creek,Class A,1968-11-01T12:00:00Z,40.33556,-121.9139,California
865,Report 865: Two 4-wheelers have night sighting above Huntington Lake,Class A,1997-12-18T12:00:00Z,37.23389,-119.2119,California
868,Report 868: Campers have sighting above Pinecrest,Class A,1994-06-01T12:00:00Z,38.17677,-119.9065,California
875,Report 875: Man has sighting near Alturas,Class A,1974-06-01T12:00:00Z,41.41,-120.6781,California
913,Report 913: Hikers see creature in Desolation Wilderness,Class A,2000-07-01T12:00:00Z,38.93,-120.205,California
919,Report 919: Car passenger has nighttime sighting near Lake Tahoe,Class A,1996-04-10T12:00:00Z,38.93333,-119.9833,California
1055,Report 1055: Two hikers have morning sighting in the Desolation Wilderness,Class A,1993-04-01T12:00:00Z,38.86,-120.1358,California
1068,Report 1068: Two fisherman have daytime sighting above Huntington Lake,Class A,1995-10-29T12:00:00Z,37.35861,-118.9975,California
1090,Report 1090: Girl has daytime sighting near Twain Harte,Class A,1978-08-01T12:00:00Z,38.06615,-120.1877,California
1229,Report 1229: Boy Scout has late night sighting above Porterville,Class A,1955-08-01T12:00:00Z,36.10222,-118.8489,California
1301,Report 1301: Three witnesses have daytime sighting near Strawberry,Class A,1978-07-30T12:00:00Z,38.19753,-119.9811,California
1391,Report 1391: Man has late night sighting north of Redding,Class A,1999-03-04T12:00:00Z,41.45833,-122.4306,California
1473,Report 1473: Family has early evening sighting near Weed,Class A,1966-09-01T12:00:00Z,41.42806,-122.3839,California
1510,Report 1510: Brothers have early evening sighting near Lee Vining,Class A,1977-07-01T12:00:00Z,38.04806,-119.2642,California
1653,Report 1653: Husband and wife have late night sighting on Highway 299,Class A,1978-10-01T12:00:00Z,40.63556,-122.7325,California
1919,Report 1919: Friends have night sighting above Sonora,Class A,1983-10-25T12:00:00Z,38.03898,-120.2339,California
2794,Report 2794: Woman has early evening sighting near Kennedy Meadows,Class A,1987-05-31T12:00:00Z,36.05278,-118.1303,California
2886,Report 2886: A Wildlife Biologist observes a large upright walking animal near Pinecrest,Class A,1993-06-15T12:00:00Z,38.26661,-119.8633,California
2896,Report 2896: Sister and brother see 3 creatures near Yreka,Class A,1944-08-01T12:00:00Z,41.82417,-122.9958,California
2928,Report 2928: Eighteen campers find hut; videotape distressed bigfoot walking down mountain ridge,Class A,2000-07-20T12:00:00Z,41.3657,-123.1317,California
3169,Report 3169: Man sees creature crossing road near Petaluma,Class A,1991-01-01T12:00:00Z,38.25583,-122.5833,California
3421,Report 3421: Family has unusual experience outside Grass Valley,Class A,1978-06-01T12:00:00Z,39.21278,-120.8908,California
3672,"Report 3672: Late night sighting by motorists travelling through Tioga Pass (Yosemite), a few miles beyond Crane Flat Campground",Class A,1998-08-01T12:00:00Z,37.91111,-119.2569,California
4446,Report 4446: Daytime sighting by hiker on La Jolla Indian Reservation.,Class A,1993-07-04T12:00:00Z,33.2675,-116.8625,California
4630,Report 4630: Afternoon sighting by hiker outside Dunsmuir,Class A,2001-06-15T12:00:00Z,41.21361,-122.2703,California
4946,Report 4946: Teenager has daytime sighting near Truckee,Class A,1956-10-01T12:00:00Z,39.3225,-120.2653,California
6429,Report 6429: Woman recalls a nighttime sighting on Hwy. 299 near Burney,Class A,1994-09-15T12:00:00Z,40.92911,-121.6156,California
6521,Report 6521: Woman hears late night scream and has close encounter near Laytonville,Class A,1987-06-01T12:00:00Z,39.68833,-123.4817,California
6639,Report 6639: Couple have night sighting near Lake Tahoe,Class A,2003-07-20T12:00:00Z,38.85556,-120.0133,California
6746,Report 6746: Man has sighting after massive landslide on Highway 50,Class A,1983-01-01T12:00:00Z,38.93333,-119.9833,California
6961,Report 6961: Teen has daytime sighting near Myers Flat,Class A,1963-08-01T12:00:00Z,40.26639,-123.8692,California
6963,Report 6963: Teens have unusual experience near Myers Flat,Class A,1965-07-01T12:00:00Z,40.26639,-123.8692,California
7334,Report 7334: Daytime sightings by Forest Service employee near Arroyo Seco,Class A,1993-04-01T12:00:00Z,36.2485,-121.495,California
7555,Report 7555: Two Young Fishermen Have Mid-day Encounter at Lake Shasta,Class A,1977-08-01T12:00:00Z,40.8875,-122.3775,California
7731,Report 7731: Hunting Partners Have Early Morning Roadway Sighting,Class A,1973-10-15T12:00:00Z,39.92778,-122.1781,California
7804,Report 7804: Family has two late night sightings near Nevada City,Class A,2004-01-04T12:00:00Z,39.26361,-121.0161,California
7860,Report 7860: Hunter has daytime sighting near Dos Rios,Class A,1974-09-01T12:00:00Z,39.68833,-123.4817,California
8059,Report 8059: Teenagers have sighting of two creatures near Albion,Class A,1966-09-01T12:00:00Z,39.22361,-123.7675,California
8487,Report 8487: Hiking boy has close encounter in High Sierra,Class A,1972-09-15T12:00:00Z,37.5703,-118.972,California
8595,Report 8595: Man has early morning sighting near Sly Park,Class A,2003-09-01T12:00:00Z,38.72139,-120.5836,California
9202,Report 9202: Man remembers childhood daytime sighting along the Feather River,Class A,1965-07-01T12:00:00Z,39.205,-121.58,California
9283,Report 9283: Early morning sighting by motorist along the Eel River,Class A,1992-07-12T12:00:00Z,40.465,-124,California
9296,Report 9296: Hunter has daytime sighting near Huntington Lake,Class A,2001-10-25T12:00:00Z,37.23389,-119.2119,California
9357,Report 9357: Workers have daytime sighting on Tule River Indian Reservation,Class A,2000-05-01T12:00:00Z,36.0438,-118.7402,California
9555,Report 9555: Retired Law Enforcement Officer Has Daytime Sighting,Class A,2004-08-16T12:00:00Z,39.31917,-120.3275,California
10980,Report 10980: Man has late night sighting near Twain Harte,Class A,2003-12-24T12:00:00Z,38.0312,-120.2434,California
11162,Report 11162: Family has sightings and encounters in Santa Cruz mountains,Class A,2004-10-01T12:00:00Z,37,-121.7,California
11496,"Report 11496: Lady has two Northern California sightings, over a 20year period.",Class A,1997-07-15T12:00:00Z,40.75,-122.1667,California
11576,Report 11576: Woman has close up night sighting in car lights on Highway 299,Class A,1988-10-15T12:00:00Z,40.85,-123.55,California
11656,Report 11656: Couple Has Early Evening Encounter Near Stumpy Meadow Reservoir,Class A,2004-11-01T12:00:00Z,38.90333,-120.6033,California
11897,Report 11897: Three young adults encounter large aggressive biped while fishing the San Joaquin River,Class A,1991-06-28T12:00:00Z,36.7818,-120.201,California
11986,Report 11986: Daylight sighting by guide and two tourists at Lake Shasta Caverns,Class A,2001-03-15T12:00:00Z,40.7974,-122.278,California
12247,Report 12247: Two teenage girls have daytime encounter on Big Sur Coast,Class A,1974-04-15T12:00:00Z,35.5565,-121.2919,California
12292,Report 12292: Daylight sighting by hikers in Ventana Wilderness,Class A,1986-06-15T12:00:00Z,36.3779,-121.7146,Florida
12294,Report 12294: Daylight sighting near Happy Camp,Class A,1967-03-10T12:00:00Z,41.75,-123.35,California
12383,Report 12383: Hiking family has daytime encounter in Sierra,Class A,2005-08-21T12:00:00Z,38.3068,-119.5483,California
12649,Report 12649: Man recalls daytime sighting in a canyon outside Nevada City,Class A,1987-09-15T12:00:00Z,39.25396,-121.0517,California
12917,Report 12917: Vehicle passenger's daylight sighting near Hiouchi,Class A,1979-10-25T12:00:00Z,41.65,-123.85,California
13419,Report 13419: Firefighter describes multiple-witness sighting during the Loma Fire,Class A,2003-09-15T12:00:00Z,40.7485,-123.2718,California
13424,Report 13424: Trail bike rider describes being briefly chased at night near Happy Camp,Class A,1993-12-15T12:00:00Z,41.75,-123.35,California
14338,Report 14338: Old newspaper article (Titusville Morning Herald - Pennsylvania) about sightings near Orestimba Creek in the Diablo (Devil) Mountains,Class A,1869-11-10T12:00:00Z,37.39555,-121.4871,California
14407,Report 14407: Daylight sighting by camper 7-8 northwest of Independence Lake,Class A,1993-09-05T12:00:00Z,39.50435,-120.3784,California
14642,Report 14642: Evening road crossing sighting near Lewiston (Hwy 299),Class A,1982-08-09T12:00:00Z,40.6789,-122.8055,California
15821,Report 15821: Backpacker's moonlit encounter near the trail from Wright's Lake to Enchanted Pools,Class A,2005-08-20T12:00:00Z,38.86165,-120.2201,California
15855,Report 15855: Daylight sighting by motorist near Laurel Canyon in the Mammoth Lakes area,Class A,2006-06-17T12:00:00Z,37.58325,-118.9166,California
16342,Report 16342: Possible sighting by motorist beside Highway 101 between Orick and Trinidad,Class A,2006-10-21T12:00:00Z,41.21385,-124.0687,California
18298,"Report 18298: Man collecting pine nuts retreats from intimidation approach, above French Gulch near Lake Shasta",Class A,2007-04-18T12:00:00Z,40.7333,-122.6667,California
20197,Report 20197: Nighttime sighting by motorist near Mt. Madonna Park in the Santa Cruz Mountains,Class A,1980-10-11T12:00:00Z,38.4906,-121.7138,California
